filename,b'A',b'B',b'C',b'D',b'E',b'F',b'G',b'H',b'I',b'J',b'K',b'L',b'M',b'S',b'Z'
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130224v30001.nc,0,0,0,0,0,0,0,0,0,0,360,0,0,1,1079
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130722v30001.nc,0,0,0,0,0,0,0,0,0,0,592,0,0,4,844
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130420v30001.nc,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,224
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130914v30001.nc,0,0,0,0,0,0,0,0,0,0,28,0,0,3,1409
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130828v30001.nc,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1410
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130827v30001.nc,0,0,0,0,0,0,0,0,0,0,613,0,0,0,827
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130503v30001.nc,0,0,0,0,0,0,0,0,0,0,426,0,0,0,1014
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130601v30001.nc,0,0,0,0,0,0,0,0,0,0,531,0,0,0,909
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130430v30001.nc,0,0,0,0,0,0,0,0,0,0,511,0,0,4,925
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130904v30001.nc,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1418
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130702v30001.nc,0,0,0,0,0,0,0,0,0,0,510,0,0,0,930
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20131031v30001.nc,0,0,0,0,0,0,0,0,0,0,435,0,0,2,1003
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20131102v30001.nc,0,0,0,0,0,0,0,0,0,0,243,0,0,0,1197
/Net/samosproc/data/public/research/WTDL/2013/WTDL_20130712v30001.nc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959
