      pressure observation  flag
0              1007.429993  b'Z'
1              1007.440002  b'Z'
2              1007.469971  b'Z'
3              1007.500000  b'Z'
4              1007.510010  b'Z'
5              1007.520020  b'Z'
6              1007.549988  b'Z'
7              1007.599976  b'Z'
8              1007.570007  b'Z'
9              1007.549988  b'Z'
10             1007.530029  b'Z'
11             1007.510010  b'Z'
12             1007.510010  b'Z'
13             1007.510010  b'Z'
14             1007.500000  b'Z'
15             1007.489990  b'Z'
16             1007.469971  b'Z'
17             1007.489990  b'Z'
18             1007.460022  b'Z'
19             1007.440002  b'Z'
20             1007.390015  b'Z'
21             1007.570007  b'Z'
22             1007.650024  b'Z'
23             1007.609985  b'Z'
24             1007.669983  b'Z'
25             1007.690002  b'Z'
26             1007.700012  b'Z'
27             1007.719971  b'Z'
28             1007.719971  b'Z'
29             1007.669983  b'Z'
30             1007.690002  b'Z'
31             1007.659973  b'Z'
32             1007.630005  b'Z'
33             1007.609985  b'Z'
34             1007.580017  b'Z'
35             1007.640015  b'Z'
36             1007.679993  b'Z'
37             1007.690002  b'Z'
38             1007.710022  b'Z'
39             1007.719971  b'Z'
40             1007.719971  b'Z'
41             1007.710022  b'Z'
42             1007.719971  b'Z'
43             1007.719971  b'Z'
44             1007.669983  b'Z'
45             1007.679993  b'Z'
46             1007.690002  b'Z'
47             1007.679993  b'Z'
48             1007.690002  b'Z'
49             1007.630005  b'Z'
50             1007.580017  b'Z'
51             1007.559998  b'Z'
52             1007.599976  b'Z'
53             1007.599976  b'Z'
54             1007.599976  b'Z'
55             1007.599976  b'Z'
56             1007.599976  b'Z'
57             1007.580017  b'Z'
58             1007.580017  b'Z'
59             1007.530029  b'Z'
60             1007.500000  b'Z'
61             1007.500000  b'Z'
62             1007.500000  b'Z'
63             1007.500000  b'Z'
64             1007.510010  b'Z'
65             1007.539978  b'Z'
66             1007.530029  b'Z'
67             1007.570007  b'Z'
68             1007.619995  b'Z'
69             1007.679993  b'Z'
70             1007.700012  b'Z'
71             1007.700012  b'Z'
72             1007.700012  b'Z'
73             1007.700012  b'Z'
74             1007.700012  b'Z'
75             1007.679993  b'Z'
76             1007.690002  b'Z'
77             1007.690002  b'Z'
78             1007.679993  b'Z'
79             1007.700012  b'Z'
80             1007.729980  b'Z'
81             1007.789978  b'Z'
82             1007.809998  b'Z'
83             1007.869995  b'Z'
84             1007.900024  b'Z'
85             1007.919983  b'Z'
86             1007.969971  b'Z'
87             1007.969971  b'Z'
88             1007.979980  b'Z'
89             1008.000000  b'Z'
90             1008.000000  b'Z'
91             1008.020020  b'Z'
92             1008.049988  b'Z'
93             1008.070007  b'Z'
94             1008.099976  b'Z'
95             1008.080017  b'Z'
96             1008.119995  b'Z'
97             1008.130005  b'Z'
98             1008.190002  b'Z'
99             1008.200012  b'Z'
100            1008.210022  b'Z'
101            1008.250000  b'Z'
102            1008.260010  b'Z'
103            1008.299988  b'Z'
104            1008.299988  b'Z'
105            1008.309998  b'Z'
106            1008.359985  b'Z'
107            1008.390015  b'Z'
108            1008.369995  b'Z'
109            1008.419983  b'Z'
110            1008.450012  b'Z'
111            1008.469971  b'Z'
112            1008.489990  b'Z'
113            1008.500000  b'Z'
114            1008.500000  b'Z'
115            1008.500000  b'Z'
116            1008.469971  b'Z'
117            1008.500000  b'Z'
118            1008.580017  b'Z'
119            1008.590027  b'Z'
120            1008.599976  b'Z'
121            1008.580017  b'Z'
122            1008.580017  b'Z'
123            1008.580017  b'Z'
124            1008.510010  b'Z'
125            1008.510010  b'Z'
126            1008.520020  b'Z'
127            1008.500000  b'Z'
128            1008.500000  b'Z'
129            1008.500000  b'Z'
130            1008.500000  b'Z'
131            1008.530029  b'Z'
132            1008.510010  b'Z'
133            1008.419983  b'S'
134            1008.510010  b'Z'
135            1008.530029  b'Z'
136            1008.570007  b'Z'
137            1008.599976  b'Z'
138            1008.609985  b'Z'
139            1008.659973  b'Z'
140            1008.690002  b'Z'
141            1008.700012  b'Z'
142            1008.750000  b'Z'
143            1008.789978  b'Z'
144            1008.830017  b'Z'
145            1008.880005  b'Z'
146            1008.890015  b'Z'
147            1008.909973  b'Z'
148            1008.960022  b'Z'
149            1009.000000  b'Z'
150            1009.049988  b'Z'
151            1009.099976  b'Z'
152            1009.130005  b'Z'
153            1009.140015  b'Z'
154            1009.119995  b'Z'
155            1009.109985  b'Z'
156            1009.099976  b'Z'
157            1009.099976  b'Z'
158            1009.099976  b'Z'
159            1009.109985  b'Z'
160            1009.150024  b'Z'
161            1009.179993  b'Z'
162            1009.150024  b'Z'
163            1009.130005  b'Z'
164            1009.130005  b'Z'
165            1009.140015  b'Z'
166            1009.179993  b'Z'
167            1009.200012  b'Z'
168            1009.179993  b'Z'
169            1009.190002  b'Z'
170            1009.200012  b'Z'
171            1009.210022  b'Z'
172            1009.299988  b'Z'
173            1009.299988  b'Z'
174            1009.299988  b'Z'
175            1009.309998  b'Z'
176            1009.320007  b'Z'
177            1009.409973  b'Z'
178            1009.450012  b'Z'
179            1009.500000  b'Z'
180            1009.500000  b'Z'
181            1009.510010  b'Z'
182            1009.510010  b'Z'
183            1009.500000  b'Z'
184            1009.390015  b'Z'
185            1009.450012  b'Z'
186            1009.409973  b'Z'
187            1009.400024  b'Z'
188            1009.369995  b'Z'
189            1009.390015  b'Z'
190            1009.400024  b'Z'
191            1009.400024  b'Z'
192            1009.400024  b'Z'
193            1009.400024  b'Z'
194            1009.429993  b'Z'
195            1009.460022  b'Z'
196            1009.489990  b'Z'
197            1009.460022  b'Z'
198            1009.450012  b'Z'
199            1009.469971  b'Z'
200            1009.489990  b'Z'
